🖐🏼 hand with fingers splayed: medium-light skin tone ; 1F590 1F3FC
🖐🏽 hand with fingers splayed: medium skin tone ; 1F590 1F3FD
🖐🏾 hand with fingers splayed: medium-dark skin tone ; 1F590 1F3FE
🖐🏿 hand with fingers splayed: dark skin tone ; 1F590 1F3FF
✋ raised hand ; 270B
✋🏻 raised hand: light skin tone ; 270B 1F3FB
✋🏼 raised hand: medium-light skin tone ; 270B 1F3FC
✋🏽 raised hand: medium skin tone ; 270B 1F3FD
✋🏾 raised hand: medium-dark skin tone ; 270B 1F3FE
✋🏿 raised hand: dark skin tone ; 270B 1F3FF
🖖 vulcan salute ; 1F596
🖖🏻 vulcan salute: light skin tone ; 1F596 1F3FB
🖖🏼 vulcan salute: medium-light skin tone ; 1F596 1F3FC
🖖🏽 vulcan salute: medium skin tone ; 1F596 1F3FD
🖖🏾 vulcan salute: medium-dark skin tone ; 1F596 1F3FE
🖖🏿 vulcan salute: dark skin tone ; 1F596 1F3FF
👌 OK hand ; 1F44C
👌🏻 OK hand: light skin tone ; 1F44C 1F3FB
👌🏼 OK hand: medium-light skin tone ; 1F44C 1F3FC
👌🏽 OK hand: medium skin tone ; 1F44C 1F3FD
👌🏾 OK hand: medium-dark skin tone ; 1F44C 1F3FE
👌🏿 OK hand: dark skin tone ; 1F44C 1F3FF
🤌 pinched fingers ; 1F90C
🤌🏻 pinched fingers: light skin tone ; 1F90C 1F3FB
🤌🏼 pinched fingers: medium-light skin tone ; 1F90C 1F3FC
🤌🏽 pinched fingers: medium skin tone ; 1F90C 1F3FD
🤌🏾 pinched fingers: medium-dark skin tone ; 1F90C 1F3FE
🤌🏿 pinched fingers: dark skin tone ; 1F90C 1F3FF
🤏 pinching hand ; 1F90F
🤏🏻 pinching hand: light skin tone ; 1F90F 1F3FB
🤏🏼 pinching hand: medium-light skin tone ; 1F90F 1F3FC
🤏🏽 pinching hand: medium skin tone ; 1F90F 1F3FD
🤏🏾 pinching hand: medium-dark skin tone ; 1F90F 1F3FE
🤏🏿 pinching hand: dark skin tone ; 1F90F 1F3FF
✌️ victory hand ; 270C FE0F
✌ victory hand ; 270C
✌🏻 victory hand: light skin tone ; 270C 1F3FB
✌🏼 victory hand: medium-light skin tone ; 270C 1F3FC
✌🏽 victory hand: medium skin tone ; 270C 1F3FD
✌🏾 victory hand: medium-dark skin tone ; 270C 1F3FE
✌🏿 victory hand: dark skin tone ; 270C 1F3FF
🤞 crossed fingers ; 1F91E
🤞🏻 crossed fingers: light skin tone ; 1F91E 1F3FB
🤞🏼 crossed fingers: medium-light skin tone ; 1F91E 1F3FC
🤞🏽 crossed fingers: medium skin tone ; 1F91E 1F3FD
🤞🏾 crossed fingers: medium-dark skin tone ; 1F91E 1F3FE
🤞🏿 crossed fingers: dark skin tone ; 1F91E 1F3FF
🤟 love-you gesture ; 1F91F
🤟🏻 love-you gesture: light skin tone ; 1F91F 1F3FB
🤟🏼 love-you gesture: medium-light skin tone ; 1F91F 1F3FC
🤟🏽 love-you gesture: medium skin tone ; 1F91F 1F3FD
🤟🏾 love-you gesture: medium-dark skin tone ; 1F91F 1F3FE
🤟🏿 love-you gesture: dark skin tone ; 1F91F 1F3FF
🤘 sign of the horns ; 1F918
🤘🏻 sign of the horns: light skin tone ; 1F918 1F3FB
🤘🏼 sign of the horns: medium-light skin tone ; 1F918 1F3FC
🤘🏽 sign of the horns: medium skin tone ; 1F918 1F3FD
🤘🏾 sign of the horns: medium-dark skin tone ; 1F918 1F3FE
🤘🏿 sign of the horns: dark skin tone ; 1F918 1F3FF
🤙 call me hand ; 1F919
🤙🏻 call me hand: light skin tone ; 1F919 1F3FB
🤙🏼 call me hand: medium-light skin tone ; 1F919 1F3FC
🤙🏽 call me hand: medium skin tone ; 1F919 1F3FD
🤙🏾 call me hand: medium-dark skin tone ; 1F919 1F3FE
🤙🏿 call me hand: dark skin tone ; 1F919 1F3FF
👈 backhand index pointing left ; 1F448
👈🏻 backhand index pointing left: light skin tone ; 1F448 1F3FB
👈🏼 backhand index pointing left: medium-light skin tone ; 1F448 1F3FC
👈🏽 backhand index pointing left: medium skin tone ; 1F448 1F3FD
👈🏾 backhand index pointing left: medium-dark skin tone ; 1F448 1F3FE
👈🏿 backhand index pointing left: dark skin tone ; 1F448 1F3FF
👉 backhand index pointing right ; 1F449
👉🏻 backhand index pointing right: light skin tone ; 1F449 1F3FB
👉🏼 backhand index pointing right: medium-light skin tone ; 1F449 1F3FC
👉🏽 backhand index pointing right: medium skin tone ; 1F449 1F3FD
👉🏾 backhand index pointing right: medium-dark skin tone ; 1F449 1F3FE
👉🏿 backhand index pointing right: dark skin tone ; 1F449 1F3FF
👆 backhand index pointing up ; 1F446
👆🏻 backhand index pointing up: light skin tone ; 1F446 1F3FB
👆🏼 backhand index pointing up: medium-light skin tone ; 1F446 1F3FC
👆🏽 backhand index pointing up: medium skin tone ; 1F446 1F3FD
👆🏾 backhand index pointing up: medium-dark skin tone ; 1F446 1F3FE
👆🏿 backhand index pointing up: dark skin tone ; 1F446 1F3FF
🖕 middle finger ; 1F595
🖕🏻 middle finger: light skin tone ; 1F595 1F3FB
🖕🏼 middle finger: medium-light skin tone ; 1F595 1F3FC
🖕🏽 middle finger: medium skin tone ; 1F595 1F3FD
🖕🏾 middle finger: medium-dark skin tone ; 1F595 1F3FE
🖕🏿 middle finger: dark skin tone ; 1F595 1F3FF
👇 backhand index pointing down ; 1F447
👇🏻 backhand index pointing down: light skin tone ; 1F447 1F3FB
👇🏼 backhand index pointing down: medium-light skin tone ; 1F447 1F3FC
👇🏽 backhand index pointing down: medium skin tone ; 1F447 1F3FD
👇🏾 backhand index pointing down: medium-dark skin tone ; 1F447 1F3FE
👇🏿 backhand index pointing down: dark skin tone ; 1F447 1F3FF
☝️ index pointing up ; 261D FE0F
☝ index pointing up ; 261D
☝🏻 index pointing up: light skin tone ; 261D 1F3FB
☝🏼 index pointing up: medium-light skin tone ; 261D 1F3FC
☝🏽 index pointing up: medium skin tone ; 261D 1F3FD
☝🏾 index pointing up: medium-dark skin tone ; 261D 1F3FE
☝🏿 index pointing up: dark skin tone ; 261D 1F3FF
👍 thumbs up ; 1F44D
👍🏻 thumbs up: light skin tone ; 1F44D 1F3FB
👍🏼 thumbs up: medium-light skin tone ; 1F44D 1F3FC
👍🏽 thumbs up: medium skin tone ; 1F44D 1F3FD
👍🏾 thumbs up: medium-dark skin tone ; 1F44D 1F3FE
👍🏿 thumbs up: dark skin tone ; 1F44D 1F3FF
👎 thumbs down ; 1F44E
👎🏻 thumbs down: light skin tone ; 1F44E 1F3FB
👎🏼 thumbs down: medium-light skin tone ; 1F44E 1F3FC
👎🏽 thumbs down: medium skin tone ; 1F44E 1F3FD
👎🏾 thumbs down: medium-dark skin tone ; 1F44E 1F3FE
👎🏿 thumbs down: dark skin tone ; 1F44E 1F3FF
✊ raised fist ; 270A
✊🏻 raised fist: light skin tone ; 270A 1F3FB
✊🏼 raised fist: medium-light skin tone ; 270A 1F3FC
✊🏽 raised fist: medium skin tone ; 270A 1F3FD
✊🏾 raised fist: medium-dark skin tone ; 270A 1F3FE
✊🏿 raised fist: dark skin tone ; 270A 1F3FF
👊 oncoming fist ; 1F44A
👊🏻 oncoming fist: light skin tone ; 1F44A 1F3FB
👊🏼 oncoming fist: medium-light skin tone ; 1F44A 1F3FC
👊🏽 oncoming fist: medium skin tone ; 1F44A 1F3FD
👊🏾 oncoming fist: medium-dark skin tone ; 1F44A 1F3FE
👊🏿 oncoming fist: dark skin tone ; 1F44A 1F3FF
🤛 left-facing fist ; 1F91B
🤛🏻 left-facing fist: light skin tone ; 1F91B 1F3FB
🤛🏼 left-facing fist: medium-light skin tone ; 1F91B 1F3FC
🤛🏽 left-facing fist: medium skin tone ; 1F91B 1F3FD
🤛🏾 left-facing fist: medium-dark skin tone ; 1F91B 1F3FE
🤛🏿 left-facing fist: dark skin tone ; 1F91B 1F3FF
🤜 right-facing fist ; 1F91C
🤜🏻 right-facing fist: light skin tone ; 1F91C 1F3FB
🤜🏼 right-facing fist: medium-light skin tone ; 1F91C 1F3FC
🤜🏽 right-facing fist: medium skin tone ; 1F91C 1F3FD
🤜🏾 right-facing fist: medium-dark skin tone ; 1F91C 1F3FE
🤜🏿 right-facing fist: dark skin tone ; 1F91C 1F3FF
👏 clapping hands ; 1F44F
👏🏻 clapping hands: light skin tone ; 1F44F 1F3FB
👏🏼 clapping hands: medium-light skin tone ; 1F44F 1F3FC
👏🏽 clapping hands: medium skin tone ; 1F44F 1F3FD
👏🏾 clapping hands: medium-dark skin tone ; 1F44F 1F3FE
👏🏿 clapping hands: dark skin tone ; 1F44F 1F3FF
🙌 raising hands ; 1F64C
🙌🏻 raising hands: light skin tone ; 1F64C 1F3FB
🙌🏼 raising hands: medium-light skin tone ; 1F64C 1F3FC
